epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,22.6266,1.08498,3.18961,1.83447,0.00971,1,0.995,0.597,1.1793,3.5131,2.78642,0.000356973,0.000356973,0.000356973
16,24.193,0.97689,2.93619,2.18159,0.00971,1,0.995,0.597,1.1793,3.5131,2.78642,0.000377206,0.000377206,0.000377206
17,25.6595,0.77253,3.00628,1.72515,0.00971,1,0.995,0.597,1.1793,3.5131,2.78642,0.000396873,0.000396873,0.000396873
18,27.0939,0.96916,3.12216,1.66429,0.00971,1,0.995,0.597,1.1793,3.5131,2.78642,0.000415975,0.000415975,0.000415975
19,28.768,1.09971,3.09522,1.97441,0.01099,1,0.995,0.51408,1.02088,3.3135,2.33829,0.00043451,0.00043451,0.00043451
20,30.2293,0.72826,3.00381,1.42478,0.01099,1,0.995,0.51408,1.02088,3.3135,2.33829,0.00045248,0.00045248,0.00045248
21,31.6804,0.88762,3.13168,1.69622,0.01099,1,0.995,0.51408,1.02088,3.3135,2.33829,0.000469884,0.000469884,0.000469884
22,33.1529,0.77435,2.47071,1.57878,0.01099,1,0.995,0.51408,1.02088,3.3135,2.33829,0.000486722,0.000486722,0.000486722
23,34.5569,0.604,2.62094,1.62364,0.01099,1,0.995,0.51408,1.02088,3.3135,2.33829,0.000502994,0.000502994,0.000502994
24,35.9606,0.61073,2.50878,1.54634,0.01099,1,0.995,0.51408,1.02088,3.3135,2.33829,0.0005187,0.0005187,0.0005187
25,37.3976,0.54229,2.54998,1.39881,0.01099,1,0.995,0.51408,1.02088,3.3135,2.33829,0.00053384,0.00053384,0.00053384
26,38.9253,0.74332,2.52484,1.43316,0.01099,1,0.995,0.51408,1.02088,3.3135,2.33829,0.000548414,0.000548414,0.000548414
27,40.364,0.93699,2.58602,1.84914,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000562423,0.000562423,0.000562423
28,41.8547,0.82093,2.533,1.83433,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000575866,0.000575866,0.000575866
29,43.299,0.6199,1.9878,1.59512,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000588742,0.000588742,0.000588742
30,45.0035,0.73069,2.06187,1.75944,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000601053,0.000601053,0.000601053
31,46.5129,0.59174,2.23413,1.49365,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000612798,0.000612798,0.000612798
32,48.0249,0.86625,2.17068,1.92006,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000623977,0.000623977,0.000623977
33,49.5653,0.75418,2.89538,1.50014,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.00063459,0.00063459,0.00063459
34,51.023,0.69515,2.92535,1.44097,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000644638,0.000644638,0.000644638
35,52.5227,0.72173,2.3318,1.60355,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000654119,0.000654119,0.000654119
36,54.0235,0.8367,2.0406,1.92208,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000663035,0.000663035,0.000663035
37,55.4422,0.7352,2.31335,1.72022,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000671384,0.000671384,0.000671384
38,56.9248,0.68708,2.26805,1.68913,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000679168,0.000679168,0.000679168
39,58.62,0.77639,2.335,1.66541,0.71515,1,0.995,0.6965,1.03942,2.44148,2.17017,0.000686386,0.000686386,0.000686386
40,60.2248,0.48969,2.25002,1.29257,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000693038,0.000693038,0.000693038
41,61.7475,0.8251,2.32954,1.85067,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000699124,0.000699124,0.000699124
42,63.1923,0.66716,1.83992,1.62735,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000704644,0.000704644,0.000704644
43,64.6117,0.69524,1.91058,1.68695,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000709599,0.000709599,0.000709599
44,66.0747,0.66209,2.32224,1.55834,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000713987,0.000713987,0.000713987
45,67.5303,0.63513,1.75379,1.61207,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.00071781,0.00071781,0.00071781
46,69.9,0.85227,2.38573,1.90053,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000721066,0.000721066,0.000721066
47,71.4061,0.48749,1.86575,1.50378,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000723757,0.000723757,0.000723757
48,72.8383,0.60796,1.79798,1.70111,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000725882,0.000725882,0.000725882
49,74.6237,0.62515,2.69851,1.36604,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000727441,0.000727441,0.000727441
50,76.2026,0.45043,1.73363,1.43251,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000728434,0.000728434,0.000728434
51,77.7835,0.93401,2.57055,1.6275,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000721645,0.000721645,0.000721645
52,79.3794,0.73742,1.84189,1.91098,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000707498,0.000707498,0.000707498
53,80.911,0.44078,1.79027,1.43257,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000693351,0.000693351,0.000693351
54,82.5485,0.90199,1.97079,1.90319,0.96727,1,0.995,0.52593,1.43934,2.0228,3.01193,0.000679204,0.000679204,0.000679204
1,26.7513,1.443,3.66157,2.31268,0.00567,1,0.41775,0.15413,1.16586,3.54634,2.53023,0.000464992,0.000464992,0.000464992
2,53.3997,0.70913,2.31283,1.70391,0.8813,0.5,0.96471,0.6281,1.09477,2.27088,2.729,0.000932006,0.000932006,0.000932006
3,79.7723,0.6118,2.29851,1.51527,0.8041,0.45,0.86635,0.48602,1.72031,2.59293,3.07245,0.00138959,0.00138959,0.00138959
